q1.sql,0.00419,0.00556,0.004845769230769231,0.004879
q10.sql,0.019297,0.021021,0.020138846153846153,0.020018
q2.sql,0.016373,0.017211,0.016763615384615384,0.016792
q3.sql,0.032216,0.033723,0.032866,0.032944
q4.sql,0.011847,0.012255,0.012025846153846153,0.011983
q5.sql,0.047816,0.050562,0.04929253846153846,0.049287
q6.sql,0.018529,0.024122,0.020033230769230765,0.018941
q7.sql,0.013691,0.019411,0.015571846153846155,0.015596
q8.sql,0.088375,0.105805,0.09507761538461537,0.093675
q9.sql,0.0188,0.020019,0.019406769230769227,0.019427
