q1.sql,0.015333,0.016466,0.015758076923076923,0.01572
q10.sql,0.019951,0.021624,0.02080853846153846,0.020848
q2.sql,0.015844,0.017063,0.016454615384615384,0.016497
q3.sql,0.134473,0.148503,0.1411465384615385,0.140785
q4.sql,0.01178,0.012262,0.012023692307692308,0.01206
q5.sql,0.514083,0.623423,0.5551010000000001,0.55046
q6.sql,0.038386,0.050999,0.04415169230769231,0.043339
q7.sql,0.014166,0.017644,0.015391692307692304,0.014847
q8.sql,0.587889,0.845098,0.6632696153846154,0.628471
q9.sql,0.01895,0.021157,0.01953423076923077,0.019357
